,u,x,y
ABaraaap,119.1202949,-99.03888,66.08404915
ABaraaapa,138.9899392,-124.7870834,61.09884995
ABaraaapaa,150.6323236,-139.5455205,56.60774235
ABaraaapap,125.7190998,-112.1111188,56.77742055
ABaraaapp,116.3889593,-96.7459434,64.59411535
ABaraaappa,133.8685854,-118.2396335,62.67016955
ABaraaappp,115.4401829,-95.2206289,65.16658755
ABaraap,91.04533138,-72.606065,54.81330125
ABaraapa,116.5033163,-102.0305333,56.12059295
ABaraapaa,134.5957921,-124.8138855,50.23902935
ABaraapaaa,145.1881401,-135.9786231,50.74612425
ABaraapaap,122.192945,-111.4300258,49.99880785
ABaraapap,105.5161392,-92.7522904,50.17554705
ABaraapapa,104.6458114,-93.309913,47.22427225
ABaraapapp,83.91841231,-68.2686141,48.65835655
ABaraapp,77.96162986,-55.946627,54.17822695
ABaraappa,100.3502583,-83.872049,54.98014175
ABaraappaa,134.4169452,-120.819172,58.78801405
ABaraappap,110.6629925,-94.2894543,57.80872245
ABaraappp,73.32963357,-48.7962026,54.62944925
ABaraapppa,92.44355547,-71.7527257,58.17328105
ABaraapppp,74.16661603,-44.6910013,59.06887105
ABarap,73.17628407,-31.9488964,65.72897085
ABarapa,93.42700225,-61.3710531,70.35213195
ABarapaa,103.6487684,-77.3485659,68.90360665
ABarapaaa,117.5585123,-102.2177223,57.95587465
ABarapaaaa,111.2211417,-96.5462081,55.10752095
ABarapaaap,94.08793078,-76.227671,55.04984045
ABarapaap,95.84086525,-75.8154626,58.52602655
ABarapaapa,107.479343,-91.4588809,56.34669825
ABarapaapp,87.39213221,-67.089128,55.89920255
ABarapap,76.57046399,-36.9998855,66.94382635
ABarapapa,81.45701899,-53.9395045,60.94365745
ABarapapaa,84.33127921,-62.0039687,57.07659455
ABarapapap,65.46448248,-35.6836792,54.80000815
ABarapapp,63.62341309,-23.5649237,59.00386365
ABarapappa,73.15927433,-46.7769137,56.14820215
ABarapappp,58.21740029,-16.2046575,55.82280425
ABarapp,62.90152756,-9.3434343,62.10679855
ABarappa,71.31844786,-18.5851951,68.76373485
ABarappaa,86.19648687,-56.1416491,65.31201305
ABarappaaa,89.32282188,-61.4475075,64.74141565
ABarappaap,72.95285333,-35.1346038,63.85060155
ABarappap,69.60238661,-22.5050194,65.77597435
ABarappapa,76.37013148,-32.2141865,69.16652915
ABarappapp,67.41130849,-2.4403538,67.28670305
ABarappp,68.18063822,13.0175108,66.83558675
ABarapppa,87.17602386,-51.872634,69.96938015
ABarapppaa,112.2705896,-88.117003,69.48211775
ABarapppap,93.94166105,-63.7856323,68.88039645
ABarapppp,74.05261298,-19.9581955,71.22451205
ABarappppa,90.99620067,-55.2425398,72.21873095
ABarappppp,80.69963863,-29.3300544,75.09583895
ABarp,79.47639031,-21.784486,76.29887575
ABarpa,95.11988841,-55.9442415,76.79580845
ABarpaa,114.4342415,-85.6103972,75.80289145
ABarpaaa,125.7374295,-102.3295589,72.93823605
ABarpaaaa,135.8873861,-122.0460487,59.52809385
ABarpaaaaa,149.8447935,-136.9522012,60.57134565
ABarpaaaap,128.1307106,-115.6246761,54.95386345
ABarpaaap,112.3021334,-94.0439167,61.16355565
ABarpaaapa,122.9910527,-106.4258348,61.42678265
ABarpaap,97.79264398,-63.0852835,74.58703465
ABarpaapa,91.68839969,-66.2620192,63.18888545
ABarpaapp,67.49391442,-18.8955749,64.62726715
ABarpap,79.08251348,-41.368409,67.28424185
ABarpapa,93.88985438,-60.8846294,71.35529645
ABarpapaa,120.8453436,-97.1043806,71.76629245
ABarpapaaa,138.4999486,-118.4055587,71.64538435
ABarpapaap,117.3177345,-91.401847,73.35568425
ABarpapap,96.94405358,-64.157346,72.51753915
ABarpapp,72.84130443,-15.6062896,71.02718765
ABarpappa,87.26603713,-42.3118943,76.16423065
ABarpappp,76.32365558,-10.7254698,75.42330945
ABarpapppp,84.65463248,3.2906219,84.43896985
ABarpp,79.4491802,19.9065054,76.77413485
ABarppa,81.465214,-25.4741015,77.23208695
ABarppaa,76.66818884,-28.3812251,71.06069385
ABarppaaa,55.86182186,-8.2723149,55.02558205
ABarppaaap,53.04807084,25.6135069,46.20328715
ABarppaap,59.61898249,27.7036411,52.57568655
ABarppaapp,84.21401573,72.5476909,42.45150085
ABarppap,65.88386484,11.5350335,64.70225895
ABarppapa,70.85230632,52.8465975,46.95455235
ABarppapaa,57.92843244,46.1610392,34.61659135
ABarppapap,88.48215696,81.9583528,32.97093265
ABarppapp,108.1078902,97.8467764,45.72198035
ABarppappa,115.8836612,109.7708342,36.80762765
ABarppappp,151.8241034,146.9593386,37.83148035
ABarppp,80.3732586,27.7179171,75.31221305
ABarpppa,75.83285018,22.0362947,72.42430335
ABarpppaa,71.97859206,9.7124345,71.14947425
ABarpppaap,84.66103825,28.9143255,79.42173395
ABarpppap,82.17764543,42.5539717,70.13981395
ABarpppapp,104.2118321,72.7699157,74.43543125
ABarpppp,96.14046307,67.2335013,68.57827505
ABarppppa,99.68773011,68.4310354,72.33977215
ABarppppaa,95.59202985,50.4950672,81.02587005
ABarppppap,117.7207708,85.0466648,81.25417305
ABarppppp,129.7876255,109.2999671,69.82389695
ABarpppppa,135.8762319,112.5803149,75.92025555
ABarpppppp,166.6676688,151.0471927,70.30251075
ABp,67.06649657,8.8412422,66.36580795
ABpl,55.34932795,1.1968107,55.15128295
ABpla,90.24868123,-69.5476707,57.31259295
ABplaa,111.5631618,-94.7666155,58.64413245
ABplaaa,127.3356932,-111.05904,62.07344145
ABplaaaa,143.6328006,-131.8883076,56.66036065
ABplaaaaa,130.768869,-121.4548103,48.19610275
ABplaaaaaa,131.9510602,-123.2779117,46.72979035
ABplaaaaap,107.343242,-96.6031879,46.49188815
ABplaaaap,104.9847077,-92.004235,50.31230455
ABplaaap,105.9140323,-87.4382088,59.55825425
ABplaaapa,82.87689923,-66.3981514,49.33503145
ABplaaapp,58.43745418,-32.5262522,48.30783255
ABplaaappp,39.45939457,-0.3898951,39.12496875
ABplaap,91.67906222,-76.5615482,50.20370065
ABplaapa,113.6814054,-103.6894743,46.31817015
ABplaapaa,102.8361419,-94.8207767,39.48929365
ABplaapaaa,122.3385037,-116.1520965,38.05529645
ABplaapaap,95.44692593,-88.0768155,36.42921775
ABplaapap,69.09699255,-56.8295548,38.97949735
ABplaapapa,79.80456305,-73.2355836,31.31072945
ABplaapapp,59.42335677,-48.758219,33.60012175
ABplaapp,71.5691791,-55.0462423,45.48904515
ABplaappa,49.22387146,-34.3132505,34.96434255
ABplaappp,35.03428198,3.8739589,34.50560575
ABplap,63.35305026,-24.6570607,58.16055215
ABplapa,81.67170765,-50.5207818,63.99517385
ABplapaa,80.54586093,-55.3513733,58.30574935
ABplapaaa,44.49041895,-14.2829614,41.84902775
ABplapaaaa,41.05541911,-5.6738441,40.39888545
ABplapaaap,43.64768504,19.6159481,38.70851765
ABplapaap,48.10218084,22.7088785,42.11850545
ABplapaapa,48.59134787,33.0314079,35.29887265
ABplapap,58.17724964,-13.552947,56.37824715
ABplapapa,66.48575421,51.6451889,41.59245975
ABplapapaa,120.1745461,114.3932707,36.51872995
ABplapapp,100.4011866,91.6559001,40.71457245
ABplapappp,159.5648024,154.4409564,39.88126485
ABplapp,52.08149894,-11.9052277,50.48768815
ABplappa,45.49279108,-8.3526667,44.46565995
ABplappaa,54.18096535,41.3324871,34.72688045
ABplappap,84.65515147,77.1691628,34.49097685
ABplappapa,97.73181463,91.3364997,34.47898715
ABplappp,58.65210717,40.8217113,41.82678995
ABplapppa,101.6186874,95.4839425,34.49353135
ABplapppaa,111.6880443,105.8016886,35.50891005
ABplapppap,130.098638,124.1982485,38.49353695
ABplapppp,126.1864867,120.8964253,35.89304355
ABplappppp,155.5773777,149.2327223,43.77403655
ABplp,40.36887336,4.0314859,39.86921045
ABplpa,37.40696495,-14.3469562,34.16789835
ABplpaa,45.98504549,-29.9673379,34.48197925
ABplpaaa,91.47032689,-85.6963416,31.58546025
ABplpaaaa,95.76293771,-89.9987834,32.43634685
ABplpaaaaa,92.91930083,-87.8475723,30.02592835
ABplpaaaap,68.30944981,-62.5396407,27.19934605
ABplpaaap,65.41534197,-57.9588687,30.02030915
ABplpaaapa,65.31018998,-60.4606931,24.36306665
ABplpaaapp,46.03557317,-39.1247851,23.92659765
ABplpaap,58.38815398,-48.4905423,32.12426285
ABplpaapa,66.58560858,-59.4527361,29.64551495
ABplpaapaa,84.05482364,-79.4947788,26.98572905
ABplpaapap,60.57775857,-55.5136671,23.85303785
ABplpaapp,37.09111833,-21.9143261,29.59490825
ABplpaappa,40.14584825,-32.4189746,23.28114035
ABplpaappp,25.29329026,-11.1047051,22.34364025
ABplpap,37.68470201,21.8111792,30.35090825
ABplpapa,47.84967208,-38.5193099,27.99085755
ABplpapaa,54.74373603,-43.6712853,32.79144525
ABplpapaaa,49.64745286,-37.5559966,32.29707015
ABplpapaap,33.22833276,-12.9056529,30.42734765
ABplpapap,38.22791774,-18.4282654,33.28256195
ABplpapapa,30.36853989,-4.4121779,29.88437225
ABplpapapp,40.67838994,23.1655798,33.29006785
ABplpapp,29.63139488,7.7092581,28.24551935
ABplpappa,35.8668798,0.0825973,35.69761825
ABplpappaa,41.00675012,-12.4027749,38.96437875
ABplpappp,51.29052403,35.5064121,36.85468785
ABplpapppa,55.14665981,36.7847907,40.97484705
ABplpapppp,81.94704729,68.8434051,44.34124005
ABplpp,61.52210106,47.1027271,39.23392345
ABplppa,49.85155004,27.6851091,41.13580775
ABplppaa,36.8877053,-15.9427453,32.88871205
ABplppaaa,33.4906406,-12.547147,30.76946965
ABplppaaaa,38.76985411,-22.6374703,31.20677295
ABplppaap,37.69907091,17.3696958,33.20752565
ABplppaapa,32.22387173,14.385846,28.59819895
ABplppaapp,51.33292293,41.1465383,30.47120045
ABplppap,41.23985491,22.398503,34.28570355
ABplppapa,44.08315285,29.3445893,32.63394965
ABplppapaa,29.93613009,9.8208034,27.98929765
ABplppapap,47.50295175,38.9826281,26.85230245
ABplppapp,72.32792117,64.1232539,33.20446555
ABplppappa,64.99201903,57.4356018,30.14978415
ABplppappp,90.0734675,84.1934884,31.76356875
ABplppp,81.9769393,73.8109099,35.31094015
ABplpppa,52.58137267,42.7405904,30.26257765
ABplpppaa,64.03809508,55.2496698,32.13100445
ABplpppaaa,70.70279827,63.0833821,31.70354315
ABplpppaap,97.19035228,91.2025531,33.37421935
ABplpppap,95.39237208,89.3333,33.22027545
ABplpppapa,117.6802899,110.8818455,39.23363485
ABplpppp,82.64209324,75.9738777,32.14583545
ABplppppa,69.18076542,59.2776253,35.46076675
ABplppppaa,62.56503632,50.9866309,36.08952465
ABplppppap,86.76738692,77.5597723,38.73284935
ABplppppp,95.0477561,86.7767636,38.59199115
ABplpppppa,101.0887138,90.4478962,45.01241575
ABplpppppp,123.6038206,114.6711761,45.99932035
ABpr,89.03311745,61.5336284,64.22889925
ABpra,87.45946161,50.397393,71.37057915
ABpraa,79.27462252,22.5730097,75.89197535
ABpraaa,82.04659097,-17.0007651,80.16653525
ABpraaaa,92.86848644,-49.7690861,78.31072665
ABpraaaaa,124.4626501,-98.66248,75.75955915
ABpraaaaaa,137.8200188,-111.9017004,80.34487105
ABpraaaaap,127.8674199,-96.6171627,83.64577245
ABpraaaap,105.9554372,-71.0018019,78.53693225
ABpraaaapa,120.6774358,-88.3186582,82.13319245
ABpraaaapp,110.0014897,-68.7798578,85.73815895
ABpraaap,82.36014492,-13.980418,81.05965845
ABpraaapa,110.9818288,-79.7446201,77.06176695
ABpraaapaa,126.4598052,-100.916544,76.07964355
ABpraaapap,114.4308947,-82.1452132,79.53341615
ABpraaapp,88.18540076,-41.5483837,77.67178935
ABpraaappa,102.0788423,-63.6172244,79.70856075
ABpraaappp,90.1092525,-37.4402263,81.84203685
ABpraap,80.38216899,31.4022335,73.89701415
ABpraapa,82.48558194,11.2721139,81.62004705
ABpraapaa,92.02854994,-44.4404007,80.45897145
ABpraapaaa,133.8358417,-108.394328,78.34092755
ABpraapaap,112.3604724,-77.6927248,81.02396115
ABpraapap,80.8676155,-7.9453097,80.34329525
ABpraapapa,102.7418767,-58.7268777,84.16050325
ABpraapapp,90.63353513,-34.2144272,83.78566825
ABpraapp,93.56234631,51.2266357,78.19221425
ABpraappa,82.26485324,10.5733941,81.47086875
ABpraappp,93.47740598,49.6666239,79.07998725
ABprap,115.0967134,87.5161167,74.63566665
ABprapa,100.0659404,62.3721901,78.13085645
ABprapaa,92.33717758,44.6289424,80.70780185
ABprapaaa,84.98469745,28.3668399,79.97060545
ABprapaaaa,80.1857814,12.0922173,79.14220805
ABprapaaap,84.95276441,35.6573415,76.97752365
ABprapaap,101.4308381,64.3439097,78.27073885
ABprapaapa,92.01547076,49.2625999,77.58589835
ABprapap,119.5863666,89.6934538,78.96564795
ABprapapa,129.5388688,103.5636503,77.68210055
ABprapapaa,144.4668159,124.4832966,73.17177825
ABprapapp,155.4921337,137.9998998,71.51582745
ABprapappp,179.4981931,167.1086841,65.40102415
ABprapp,134.2678462,112.971013,72.43998065
ABprappa,135.4856256,112.4824922,75.41451185
ABprappaa,116.29351,86.1144775,78.05411365
ABprappap,141.5387807,120.5074654,74.12637375
ABprappapa,131.3042568,105.1735918,78.48881485
ABprappp,157.463034,142.1049822,67.68834245
ABprapppa,151.7855171,134.0864101,71.02031805
ABprapppaa,137.6732814,119.4250763,68.35667435
ABprapppap,152.2063423,137.4878774,65.15567415
ABprapppp,164.5991647,151.0397013,65.30320555
ABprappppp,169.3992684,159.1501843,57.87339435
ABprp,110.7177154,95.4460773,55.98197675
ABprpa,97.64000415,76.3515189,60.74628045
ABprpaa,104.1678833,75.3595221,71.82366465
ABprpaaa,79.38107604,22.1372972,76.14628625
ABprpaaaa,89.87679006,-49.0429918,75.22491835
ABprpaaaaa,105.9355065,-75.0838199,74.63855115
ABprpaaaap,92.37714585,-49.267541,78.05710465
ABprpaaap,80.03603475,-14.2436665,78.66800335
ABprpaaapa,90.1325024,-43.3792999,78.90879905
ABprpaaapp,82.39875043,-20.0569533,79.82838485
ABprpaap,97.51005908,60.9745345,76.00482645
ABprpaapa,80.90926633,-13.022298,79.76050835
ABprpaapaa,102.8155811,-63.1605124,81.03173915
ABprpaapap,93.09008711,-38.3300015,84.73444465
ABprpaapp,82.64799577,21.7418327,79.64372555
ABprpaappa,85.5409204,-16.7633843,83.78266715
ABprpaappp,84.31254532,4.7646758,84.08327925
ABprpap,127.4744939,111.604831,61.48339855
ABprpapa,95.26378472,65.3590342,69.21659985
ABprpapaa,70.31367546,3.0522047,70.16248925
ABprpapaaa,72.38943628,-16.966767,70.29380245
ABprpapaap,72.61764451,8.5302716,72.03736215
ABprpapap,72.22832629,24.8551108,67.72955565
ABprpapapa,70.86758806,19.8181295,67.96719225
ABprpapapp,81.18624078,47.0765961,66.06513075
ABprpapp,120.5180323,102.7343102,62.90382095
ABprpappa,71.61936726,32.2265597,63.87693005
ABprpappaa,60.73232023,-3.1585902,60.56752545
ABprpappap,62.75933468,25.8706017,57.09281945
ABprpappp,91.13618442,64.9034999,63.88683865
ABprpapppa,79.41927427,53.2469102,58.85043125
ABprpapppp,101.6723062,85.3790621,55.11636455
ABprpp,150.1033608,137.4811048,60.10992245
ABprppa,160.5798186,144.1974711,70.54664065
ABprppaa,119.0696765,91.7902252,75.74836725
ABprppaaa,78.32376635,22.504136,74.92906895
ABprppaaaa,75.12321338,-11.5540626,74.13152515
ABprppaap,89.27141733,51.6586226,72.71545705
ABprppaapa,78.96052437,32.7527635,71.75847735
ABprppaapp,91.45375575,59.4008099,69.44620205
ABprppap,140.6804053,121.5759048,70.67594975
ABprppapa,98.2527061,64.5303979,73.99645935
ABprppapaa,79.21186776,25.4778481,74.90026255
ABprppapap,91.83067028,53.7743719,74.33913955
ABprppapp,119.7631031,95.2772125,72.46106715
ABprppappa,103.7950751,72.902942,73.78400625
ABprppappp,124.0858061,100.4422557,72.75520375
ABprppp,166.0515232,155.4395137,58.26731125
ABprpppa,161.4684013,146.9085026,66.89590375
ABprpppaa,125.8334635,103.083642,72.06827075
ABprpppaaa,109.9152988,85.1372536,69.41547175
ABprpppaap,132.6651601,114.4593246,66.96079575
ABprpppap,147.9407044,131.6256603,67.43190485
ABprpppapa,142.1538146,127.4207557,62.90249045
ABprpppp,157.5928245,146.8288066,57.10426795
ABprppppa,114.7428765,94.0955158,65.56478095
ABprppppaa,96.57121234,70.0127295,66.42220465
ABprppppap,115.432308,95.7624605,64.35445485
ABprppppp,130.919301,116.0438637,60.50009155
ABprpppppa,121.7641394,107.2376067,57.57033695
ABprpppppp,142.0365226,131.3584201,53.90772685
C,124.2745991,107.2848199,62.55244085
Ca,77.88433255,49.816121,59.70154935
Caa,70.8806922,30.0146078,64.04817855
Caaa,70.14695548,35.1469764,60.52942865
Caaaa,108.7367619,95.1750383,52.35926165
Caaap,147.4514472,138.983146,49.00937435
Caap,110.3723187,97.3552955,51.76386775
Caapa,172.6427806,165.2064373,49.92814905
Caapp,169.6575123,163.0702595,46.62401495
Cap,103.3646342,88.0105524,53.99167995
Capa,101.9540675,92.240341,43.16862735
Capaa,93.2283625,81.9302151,44.32858685
Capaaa,67.24747156,54.8550668,38.70045365
Capaap,89.03171042,77.593314,43.51322665
Capap,123.3203162,114.1526055,46.50767175
Capapa,98.77798928,90.4116813,39.58736445
Capapp,116.2740672,107.9130467,43.16129005
Capp,133.9084317,126.4003943,43.91536355
Cappa,130.707311,123.8363917,41.61487825
Cappaa,99.92185831,91.1748033,40.66614975
Cappap,124.124075,117.277946,40.45966825
Cappp,149.3855498,142.0654468,46.01192965
Capppa,139.9227652,133.4554369,41.84525855
Capppp,139.6396718,131.3288232,47.32705975
Cp,137.0412513,120.810888,64.52144055
Cpa,133.1481354,113.7161825,69.09115725
Cpaa,129.8018692,108.9669477,70.36787405
Cpaaa,113.9977944,94.2375877,63.96746815
Cpaap,159.2914932,146.9085816,61.39152735
Cpap,153.5279675,142.4522911,57.03151965
Cpapa,181.23669,171.1250902,59.52991085
Cpapp,182.8226893,175.3040258,51.71690165
Cpp,166.5898445,157.5105011,54.02040125
Cppa,175.2191017,165.5141734,57.34223665
Cppaa,111.5191161,94.7523423,58.70028075
Cppaaa,94.58780185,67.391424,66.26709945
Cppaap,106.2017641,87.9599927,59.41429335
Cppap,134.0793568,122.3850518,54.63978945
Cppapa,118.0144414,98.749715,64.49770855
Cppapp,128.3586583,114.8316561,57.24672795
Cppp,161.6592515,155.014218,45.63018765
Cpppa,153.5544626,141.292106,59.99260655
Cpppaa,118.8248119,96.6217152,69.02780225
Cpppap,142.574179,127.3511237,63.97715575
Cpppp,159.7407474,150.574139,53.18406795
Cppppa,156.0459284,143.414418,61.36987725
Cppppp,151.2004924,141.30139,53.68486345
D,166.6178797,159.3729049,48.36578785
Da,119.7539412,114.5995426,34.41629535
Daa,73.88560352,62.5625939,39.13226945
Daaa,38.65535904,20.325365,32.62824125
Daap,57.46491643,45.4945022,34.92097035
Dap,116.2407058,108.172577,42.36888865
Dapa,61.99042939,51.448742,34.33246885
Dapp,91.73014232,82.4270533,40.04741675
Dappa,62.17706876,56.8678955,24.52609875
Dappp,107.856945,104.2562355,27.17206645
Dp,151.0227231,143.7515238,46.11725435
Dpa,103.3276159,84.9055511,58.78225055
Dpaa,80.82713359,24.8154145,76.82764565
Dpap,82.63341617,46.1499669,68.45358595
Dpp,133.9316635,122.7859164,53.35794545
Dppa,93.51862962,55.6465195,75.05319315
Dppp,110.8479685,86.8688419,68.73431195
Dpppa,100.0870154,54.7036941,83.65776985
Dpppp,129.4900584,101.2461272,80.59697515
E,94.7141107,85.2339657,41.06783795
Ea,60.28409701,44.1120604,40.88384305
Eal,45.91484415,14.6400601,43.32175965
Eala,58.95766079,-30.4705115,50.31836155
Ealaa,64.52175166,-38.8863846,51.31500065
Ealap,53.34617767,10.4184477,52.15265655
Ealp,50.05270153,18.4457412,46.36590175
Ealpp,62.37838487,38.885612,48.61625165
Ear,63.77021067,25.8830251,58.17248465
Eara,66.2750897,-18.8000424,63.43407895
Earaa,69.52450512,-32.9474271,61.09070965
Earap,63.33574696,12.1694214,62.02744765
Earp,68.45924999,29.5919079,61.62013665
Earpp,75.47659894,47.947974,58.16138035
EMS,55.4229333,38.4723228,39.66015115
Ep,116.6630859,107.3271885,45.51383755
Epl,86.3712453,72.7568026,46.36407255
Epla,76.34138001,56.3259655,51.37250655
Eplaa,70.22257559,46.3258113,52.60899905
Eplap,98.64771081,84.2257028,51.17797225
Eplp,118.6898587,107.5814922,49.96105115
Eplpa,120.8044582,108.473119,52.98707225
Eplpp,138.0034606,128.0271831,51.34124635
Epr,113.0282988,97.2321835,57.49258235
Epra,91.41958395,66.0695612,63.06307115
Epraa,76.98018511,42.1569732,64.27252145
Eprap,102.4016264,82.4698767,60.55507285
